LOCALIDAD,PROVINCIA,PARTIDO,HABILITADA
DEL VALLE,BUENOS AIRES,25 DE MAYO,NO
GOBERNADOR UGARTE,BUENOS AIRES,25 DE MAYO,NO
NORBERTO DE LA RIESTRA,BUENOS AIRES,25 DE MAYO,NO
PEDERNALES,BUENOS AIRES,25 DE MAYO,NO
25 DE MAYO,BUENOS AIRES,25 DE MAYO,SI
9 DE JULIO,BUENOS AIRES,9 DE JULIO,SI
CARLOS MARIA NAON,BUENOS AIRES,9 DE JULIO,NO
DUDIGNAC,BUENOS AIRES,9 DE JULIO,NO
FRENCH,BUENOS AIRES,9 DE JULIO,NO
QUIROGA,BUENOS AIRES,9 DE JULIO,NO
CARHUE,BUENOS AIRES,ADOLFO ALSINA,NO
VILLA MAZA,BUENOS AIRES,ADOLFO ALSINA,NO
RIVERA,BUENOS AIRES,ADOLFO ALSINA,NO
SAN MIGUEL ARCANGEL,BUENOS AIRES,ADOLFO ALSINA,NO
ADOLFO GONZALES CHAVES,BUENOS AIRES,ADOLFO GONZALES CHAVES,NO
DE LA GARMA,BUENOS AIRES,ADOLFO GONZALES CHAVES,NO
ALBERTI,BUENOS AIRES,ALBERTI,NO
CORONEL MOM,BUENOS AIRES,ALBERTI,NO
ADROGUE,BUENOS AIRES,ALMIRANTE BROWN,SI
BURZACO,BUENOS AIRES,ALMIRANTE BROWN,SI
LONGCHAMPS,BUENOS AIRES,ALMIRANTE BROWN,SI
JOSE MARMOL,BUENOS AIRES,ALMIRANTE BROWN,NO
RAFAEL CALZADA,BUENOS AIRES,ALMIRANTE BROWN,NO
GLEW,BUENOS AIRES,ALMIRANTE BROWN,NO
ALMIRANTE BROWN,BUENOS AIRES,ALMIRANTE BROWN,NO
ARRECIFES,BUENOS AIRES,ARRECIFES,NO
CRUCESITA,BUENOS AIRES,AVELLANEDA,SI
AVELLANEDA,BUENOS AIRES,AVELLANEDA,SI
SARANDI,BUENOS AIRES,AVELLANEDA,SI
PIÑEYRO,BUENOS AIRES,AVELLANEDA,SI
WILDE,BUENOS AIRES,AVELLANEDA,SI
DOCK SUD,BUENOS AIRES,AVELLANEDA,NO
AVELLANEDA,BUENOS AIRES,AVELLANEDA,NO
AYACUCHO,BUENOS AIRES,AYACUCHO,NO
AZUL,BUENOS AIRES,AZUL,SI
CACHARI,BUENOS AIRES,AZUL,NO
CHILLAR,BUENOS AIRES,AZUL,NO
BAHIA BLANCA,BUENOS AIRES,BAHIA BLANCA,SI
CABILDO,BUENOS AIRES,BAHIA BLANCA,SI
BAHIA BLANCA,BUENOS AIRES,BAHIA BLANCA,NO
BAHIA BLANCA,BUENOS AIRES,BAHIA BLANCA,NO
BASE AERONAVAL CMTE ESPORA,BUENOS AIRES,BAHIA BLANCA,NO
GRAL DANIEL CERRI,BUENOS AIRES,BAHIA BLANCA,NO
INGENIERO WHITE,BUENOS AIRES,BAHIA BLANCA,SI
BAHIA BLANCA,BUENOS AIRES,BAHIA BLANCA,NO
BAHIA BLANCA,BUENOS AIRES,BAHIA BLANCA,NO
BAHIA BLANCA,BUENOS AIRES,BAHIA BLANCA,NO
BAHIA BLANCA,BUENOS AIRES,BAHIA BLANCA,NO
BALCARCE,BUENOS AIRES,BALCARCE,SI
BANFIELD,BUENOS AIRES,BANFIELD,NO
ALSINA,BUENOS AIRES,BARADERO,NO
BARADERO,BUENOS AIRES,BARADERO,SI
BELEN DE ESCOBAR,BUENOS AIRES,BELEN DE ESCOBAR,NO
VILLA CACIQUE,BUENOS AIRES,BENITO JUAREZ,NO
BENITO JUAREZ,BUENOS AIRES,BENITO JUAREZ,NO
BERAZATEGUI,BUENOS AIRES,BERAZATEGUI,SI
RANELAGH,BUENOS AIRES,BERAZATEGUI,NO
GUILLERMO E HUDSON,BUENOS AIRES,BERAZATEGUI,NO
JUAN MARIA GUTIERREZ,BUENOS AIRES,BERAZATEGUI,NO
CENTRO AGRICOLA EL PATO,BUENOS AIRES,BERAZATEGUI,NO
BERAZATEGUI,BUENOS AIRES,BERAZATEGUI,NO
BERISSO,BUENOS AIRES,BERISSO,NO
BERISSO ,BUENOS AIRES,BERISSO,NO
BERNAL,BUENOS AIRES,BERNAL,NO
BOLIVAR,BUENOS AIRES,BOLIVAR,NO
PIROVANO,BUENOS AIRES,BOLIVAR,NO
URDAMPILLETA,BUENOS AIRES,BOLIVAR,NO
BRAGADO,BUENOS AIRES,BRAGADO,SI
GENERAL O BRIEN,BUENOS AIRES,BRAGADO,NO
MECHITA,BUENOS AIRES,BRAGADO,NO
BRANDSEN,BUENOS AIRES,BRANDSEN,SI
JEPPENER,BUENOS AIRES,BRANDSEN,NO
QUILMES,BUENOS AIRES,BUENOS AIRES,NO
CAMPANA,BUENOS AIRES,CAMPANA,SI
CAMPANA,BUENOS AIRES,CAMPANA,NO
CAÑUELAS,BUENOS AIRES,CAÑUELAS,SI
CAPITAN SARMIENTO,BUENOS AIRES,CAPITAN SARMIENTO,NO
CARLOS CASARES,BUENOS AIRES,CARLOS CASARES,SI
MOCTEZUMA,BUENOS AIRES,CARLOS CASARES,NO
CARLOS TEJEDOR,BUENOS AIRES,CARLOS TEJEDOR,NO
TIMOTE,BUENOS AIRES,CARLOS TEJEDOR,NO
TRES ALGARROBOS,BUENOS AIRES,CARLOS TEJEDOR,NO
CARMEN DE ARECO,BUENOS AIRES,CARMEN DE ARECO,NO
CASTELLI,BUENOS AIRES,CASTELLI,NO
CHACABUCO,BUENOS AIRES,CHACABUCO,SI
O HIGGINS,BUENOS AIRES,CHACABUCO,NO
RAWSON,BUENOS AIRES,CHACABUCO,NO
CHASCOMUS,BUENOS AIRES,CHASCOMUS,SI
CHIVILCOY,BUENOS AIRES,CHIVILCOY,SI
VILLA MOQUEHUA,BUENOS AIRES,CHIVILCOY,NO
CLAYPOLE,BUENOS AIRES,CLAYPOLE,NO
COLON,BUENOS AIRES,COLON,NO
CORONEL DORREGO,BUENOS AIRES,CORONEL DORREGO,NO
EL PERDIDO EST JOSE GUISASOLA,BUENOS AIRES,CORONEL DORREGO,NO
ORIENTE,BUENOS AIRES,CORONEL DORREGO,NO
CORONEL PRINGLES,BUENOS AIRES,CORONEL PRINGLES,NO
INDIO RICO,BUENOS AIRES,CORONEL PRINGLES,NO
PUNTA ALTA,BUENOS AIRES,CORONEL ROSALES,SI
BATERIAS,BUENOS AIRES,CORONEL ROSALES,NO
PUERTO BELGRANO,BUENOS AIRES,CORONEL ROSALES,NO
CORONEL SUAREZ,BUENOS AIRES,CORONEL SUAREZ,SI
HUANGUELEN,BUENOS AIRES,CORONEL SUAREZ,NO
PUEBLO SAN JOSE,BUENOS AIRES,CORONEL SUAREZ,NO
DAIREAUX,BUENOS AIRES,DAIREAUX,NO
SALAZAR,BUENOS AIRES,DAIREAUX,NO
DOLORES,BUENOS AIRES,DOLORES,SI
DON TORCUATO,BUENOS AIRES,DON TORCUATO,NO
EL PALOMAR,BUENOS AIRES,EL PALOMAR,NO
ENSENADA,BUENOS AIRES,ENSENADA,SI
ESC NAV MILITAR RIO SANTIAGO,BUENOS AIRES,ENSENADA,NO
ENSENADA ,BUENOS AIRES,ENSENADA ,NO
BELEN DE ESCOBAR,BUENOS AIRES,ESCOBAR,SI
GARIN,BUENOS AIRES,ESCOBAR,SI
INGENIERO MASCHWITZ,BUENOS AIRES,ESCOBAR,SI
MATHEU,BUENOS AIRES,ESCOBAR,NO
MAQUINISTA F SAVIO,BUENOS AIRES,ESCOBAR,NO
MONTE GRANDE,BUENOS AIRES,ESTEBAN ECHEVERRIA,SI
LUIS GUILLON,BUENOS AIRES,ESTEBAN ECHEVERRIA,NO
MONTE GRANDE,BUENOS AIRES,ESTEBAN ECHEVERRIA,NO
EL JAGUEL,BUENOS AIRES,ESTEBAN ECHEVERRIA,NO
CAPILLA DEL SEÑOR,BUENOS AIRES,EXALTACION DE LA CRUZ,NO
LOS CARDALES,BUENOS AIRES,EXALTACION DE LA CRUZ,NO
PARADA ROBLES,BUENOS AIRES,EXALTACION DE LA CRUZ,NO
EZEIZA,BUENOS AIRES,EZEIZA,SI
AEROPUERTO EZEIZA,BUENOS AIRES,EZEIZA,NO
TRISTAN SUAREZ,BUENOS AIRES,EZEIZA,NO
EZEIZA,BUENOS AIRES,EZEIZA,NO
FLORENCIO VARELA,BUENOS AIRES,FLORENCIO VARELA,SI
FLORENCIO VARELA,BUENOS AIRES,FLORENCIO VARELA,NO
FLORENCIO VARELA,BUENOS AIRES,FLORENCIO VARELA,NO
FLORENTINO AMEGHINO,BUENOS AIRES,FLORENTINO AMEGHINO,NO
BLAQUIER,BUENOS AIRES,FLORENTINO AMEGHINO,NO
MIRAMAR,BUENOS AIRES,GENERAL ALVARADO,SI
COMANDANTE NICANOR OTAMENDI,BUENOS AIRES,GENERAL ALVARADO,NO
GENERAL ALVEAR,BUENOS AIRES,GENERAL ALVEAR,NO
ARRIBEÑOS,BUENOS AIRES,GENERAL ARENALES,NO
ASCENCION,BUENOS AIRES,GENERAL ARENALES,NO
FERRE,BUENOS AIRES,GENERAL ARENALES,NO
GENERAL ARENALES,BUENOS AIRES,GENERAL ARENALES,NO
GENERAL BELGRANO,BUENOS AIRES,GENERAL BELGRANO,SI
GENERAL GUIDO,BUENOS AIRES,GENERAL GUIDO,NO
GENERAL LAMADRID,BUENOS AIRES,GENERAL LAMADRID,NO
LA COLINA,BUENOS AIRES,GENERAL LAMADRID,NO
GENERAL LAS HERAS,BUENOS AIRES,GENERAL LAS HERAS,NO
GENERAL LAVALLE,BUENOS AIRES,GENERAL LAVALLE,NO
GENERAL MADARIAGA,BUENOS AIRES,GENERAL MADARIAGA,NO
GENERAL PACHECO,BUENOS AIRES,GENERAL PACHECO,NO
RANCHOS,BUENOS AIRES,GENERAL PAZ,NO
CORONEL GRANADA,BUENOS AIRES,GENERAL PINTO,NO
GENERAL PINTO,BUENOS AIRES,GENERAL PINTO,NO
GERMANIA,BUENOS AIRES,GENERAL PINTO,NO
MAR DEL PLATA,BUENOS AIRES,GENERAL PUEYRREDON,SI
MAR DEL PLATA,BUENOS AIRES,GENERAL PUEYRREDON,SI
MAR DEL PLATA,BUENOS AIRES,GENERAL PUEYRREDON,SI
MAR DEL PLATA,BUENOS AIRES,GENERAL PUEYRREDON,SI
MAR DEL PLATA,BUENOS AIRES,GENERAL PUEYRREDON,NO
MAR DEL PLATA,BUENOS AIRES,GENERAL PUEYRREDON,NO
